NCES ID,State,School District (Portal Name),acfrs_original_name,Year,Net Pension Liability,Net Pension Asset,NPL less NPA,States Proportionate Share of Net Pension liability,Overall Liability (Asset) Associated with District Staff,Comments,Employer name in GASB 68/ACFR,
602070,CA,Alpine County Unified School District,Alpine County Unified School District,2020,"2,900,443",,"2,900,443","841,532","3,741,975",,,
602100,CA,Alpine Union School District,Alpine Union School District,2020,"15,474,300",,"15,474,300","6,690,831","22,165,131",,,
4900030,UT,Alpine School District,Alpine School District,2020,"185,909,219",,"185,909,219",,"185,909,219",,,
4807950,TX,Alpine Independent School District,Alpine Independent School District,2020,"3,277,082",,"3,277,082","5,967,569","9,244,651",,,
1703480,IL,Alsip Hazelgreen and Oak Lawn School District 126,Alsip Hazelgreen And Oak Lawn School District 126,2020,"1,013,595","1,451,141","-437,546","72,136,475","71,698,929",,,
602160,CA,Alta Loma School District,Alta Loma School District,2020,"60,830,493",,"60,830,493","15,764,979","76,595,472",,,
602220,CA,Alta Vista Elementary School District,Alta Vista Elementary School District,2020,"6,764,962",,"6,764,962","2,254,311","9,019,273",,,
1903480,IA,Alta-Aurelia Community School District,Alta-Aurelia Community School District,2020,"4,320,281",,"4,320,281",,"4,320,281",,,
602250,CA,Alta-Dutch Flat Union Elementary School District,Alta-Dutch Flat Union Elementary School District,2020,"1,307,099",,"1,307,099","486,835","1,793,934",,,
404770,AZ,Altar Valley Elementary School District No. 51,Altar Valley Elementary School District No. 51,2020,"4,966,312",,"4,966,312",,"4,966,312",,,
3602820,NY,Altmar-Parish-Williamstown Central School District,Altmar-Parish-Williamstown Central School District,2020,"2,856,260","1,424,910","1,431,350",,"1,431,350",,,
4807980,TX,Alto Independent School District,Alto Independent School District,2020,"1,769,638",,"1,769,638","3,267,341","5,036,979",,,
1703600,IL,Alton Community Unit School District 11,Alton Community Unit School District 11,2020,"3,131,790","796,666","2,335,124","222,886,044","225,221,168",,,
2903060,MO,Alton R-IV School District,Alton R-Iv School District,2020,,,0,,0,,,
4202340,PA,Altoona Area School District,Altoona Area School District,2020,"156,597,387",,"156,597,387",,"156,597,387",,,
5500270,WI,School District of Altoona,School District Of Altoona,2020,,"2,015,775","-2,015,775",,"-2,015,775",,,
4002850,OK,Altus Independent School District 18,Altus Independent School District 18,2020,,,0,,0,,,
602310,CA,Alum Rock Union Elementary School District,Alum Rock Union Elementary School District,2020,"143,269,088",,"143,269,088","51,576,000","194,845,088",,,
4002880,OK,Alva School District I-1,Alva School District I-1,2020,,,0,,0,,,
4800011,TX,Alvarado Independent School District,Alvarado Independent School District,2020,"9,971,194",,"9,971,194","15,085,150","25,056,344",,,
4808090,TX,Alvin Independent School District,Alvin Independent School District,2020,"48,703,230",,"48,703,230","164,222,172","212,925,402",,,
4808100,TX,Alvord Independent School District,Alvord Independent School District,2020,"1,965,815",,"1,965,815","3,671,233","5,637,048",,,
602430,CA,Alvord Unified School District,Alvord Unified School District,2020,"248,110,436",,"248,110,436","99,503,096","347,613,532",,,
691001,CA,Amador County office of Education,Amador County Office Of Education,2020,"13,215,077",,"13,215,077","4,553,651","17,768,728",,,
3904684,OH,Amanda-Clearcreek Local School District,Amanda-Clearcreek Local School District,2020,"15,411,180",,"15,411,180",,"15,411,180",,,
4808130,TX,Amarillo Independent School District,Amarillo Independent School District,2020,"89,394,235",,"89,394,235","139,563,129","228,957,364",,,
4002910,OK,Amber-Pocasset School District I-128,Amber-Pocasset School District I-128,2020,,,0,,0,,,
4202440,PA,Ambridge Area School District,Ambridge Area School District,2020,"54,923,000",,"54,923,000",,"54,923,000",,,
1600060,ID,American Falls School District No. 381,American Falls School District No. 381,2020,"2,591,578",,"2,591,578",,"2,591,578",,,
